interval_name	abbrev	age_bottom	age_mid	age_top	period	era
Late Pleistocene		0.126	0.06885	0.0117	Quaternary	Cenozoic
Middle Pleistocene		0.781	0.4535	0.126	Quaternary	Cenozoic
Calabrian		1.806	1.2935	0.781	Quaternary	Cenozoic
Gelasian		2.588	2.197	1.806	Quaternary	Cenozoic
Piacenzian		3.6	3.094	2.588	Neogene	Cenozoic
Zanclean		5.333	4.4665	3.6	Neogene	Cenozoic
Messinian		7.246	6.2895	5.333	Neogene	Cenozoic
Tortonian		11.62	9.433	7.246	Neogene	Cenozoic
Serravallian		13.82	12.72	11.62	Neogene	Cenozoic
Langhian		15.97	14.895	13.82	Neogene	Cenozoic
Burdigalian		20.44	18.205	15.97	Neogene	Cenozoic
Aquitanian		23.03	21.735	20.44	Neogene	Cenozoic
Chattian		28.1	25.565	23.03	Paleogene	Cenozoic
Rupelian		33.9	31	28.1	Paleogene	Cenozoic
Priabonian		37.8	35.85	33.9	Paleogene	Cenozoic
Bartonian		41.3	39.55	37.8	Paleogene	Cenozoic
Lutetian		47.8	44.55	41.3	Paleogene	Cenozoic
Ypresian		56	51.9	47.8	Paleogene	Cenozoic
Thanetian		59.2	57.6	56	Paleogene	Cenozoic
Selandian		61.6	60.4	59.2	Paleogene	Cenozoic
Danian		66	63.8	61.6	Paleogene	Cenozoic
Maastrichtian		72.1	69.05	66	Cretaceous	Mesozoic
Campanian		83.6	77.85	72.1	Cretaceous	Mesozoic
Santonian		86.3	84.95	83.6	Cretaceous	Mesozoic
Coniacian		89.8	88.05	86.3	Cretaceous	Mesozoic
Turonian		93.9	91.85	89.8	Cretaceous	Mesozoic
Cenomanian		100.5	97.2	93.9	Cretaceous	Mesozoic
Albian		113	106.75	100.5	Cretaceous	Mesozoic
Aptian		125	119	113	Cretaceous	Mesozoic
Barremian		129.4	127.2	125	Cretaceous	Mesozoic
Hauterivian		132.9	131.15	129.4	Cretaceous	Mesozoic
Valanginian		139.8	136.35	132.9	Cretaceous	Mesozoic
Berriasian		145	142.4	139.8	Cretaceous	Mesozoic
Tithonian		152.1	148.55	145	Jurassic	Mesozoic
Kimmeridgian		157.3	154.7	152.1	Jurassic	Mesozoic
Oxfordian		163.5	160.4	157.3	Jurassic	Mesozoic
Callovian		166.1	164.8	163.5	Jurassic	Mesozoic
Bathonian		168.3	167.2	166.1	Jurassic	Mesozoic
Bajocian		170.3	169.3	168.3	Jurassic	Mesozoic
Aalenian		174.1	172.2	170.3	Jurassic	Mesozoic
Toarcian		182.7	178.4	174.1	Jurassic	Mesozoic
Pliensbachian		190.8	186.75	182.7	Jurassic	Mesozoic
Sinemurian		199.3	195.05	190.8	Jurassic	Mesozoic
Hettangian		201.3	200.3	199.3	Jurassic	Mesozoic
Rhaetian		208.5	204.9	201.3	Triassic	Mesozoic
Norian		228	218.25	208.5	Triassic	Mesozoic
Carnian		237	232.5	228	Triassic	Mesozoic
